data_version=fm-20260911-01 params_sha=6a1bb7f46402 window=320 比對 10 日（2026-09-01～2026-09-14）；repo 原料包 480 份（區間內 10 份）、參考交易日 10 日
2026-09-01  原料包 相同 | 分數 共同 5,835 列 不同 5,835 | diag 相同 | 歸類 ①0 ②0 ③0 ④0 ⑤0 ⑥0 ①連帶1944
    2026-09-03: ('tpex', 'mid', '1569') 欄 line_6: A=38.78182667038426 B=38.683692154679505
    2026-09-03: ('tpex', 'mid', '1570') 欄 line_6: A=40.71661093698964 B=39.58195655286275
    2026-09-03: ('tpex', 'mid', '1580') 欄 line_6: A=40.71661093698964 B=39.58195655286275
    2026-09-03: ('tpex', 'mid', '1584') 欄 line_6: A=44.92957224013067 B=44.8314377244259
    2026-09-03: ('tpex', 'mid', '1586') 欄 line_6: A=40.71661093698964 B=39.58195655286275
    2026-09-03: ('tpex', 'mid', '1591') 欄 line_6: A=40.71661093698964 B=39.58195655286275
    2026-09-03: ('tpex', 'mid', '1593') 欄 line_6: A=47.14954269361952 B=47.05140817791476
    2026-09-03: ('tpex', 'mid', '1595') 欄 line_6: A=44.66925084318124 B=44.571116327476474
    2026-09-03: ('tpex', 'mid', '1599') 欄 line_6: A=40.71661093698964 B=39.58195655286275
    2026-09-03: ('tpex', 'mid', '1742') 欄 line_6: A=39.66470165718666 B=39.5665671414819
    2026-09-03: ('tpex', 'mid', '1777') 欄 line_6: A=38.58726631443785 B=38.489131798733084
    2026-09-03: ('tpex', 'mid', '1780') 欄 line_6: A=46.993384417311184 B=46.89524990160642
    2026-09-03: ('tpex', 'mid', '1781') 欄 line_6: A=36.21111178200904 B=36.112977266304284
    2026-09-03: ('tpex', 'mid', '1784') 欄 line_6: A=38.58726631443785 B=38.489131798733084
    2026-09-03: ('tpex', 'mid', '1785') 欄 line_3: A=19.98187107231157 B=20.326193218109832
    2026-09-03: ('tpex', 'mid', '1788') 欄 line_6: A=36.21111178200904 B=36.112977266304284
    2026-09-03: ('tpex', 'mid', '1796') 欄 line_6: A=44.6246401228858 B=44.526505607181036
    2026-09-03: ('tpex', 'mid', '1799') 欄 line_6: A=38.58726631443785 B=38.489131798733084
    2026-09-03: ('tpex', 'mid', '1813') 欄 line_6: A=36.21111178200904 B=36.112977266304284
    2026-09-03: ('tpex', 'mid', '1815') 欄 line_6: A=41.93455081692108 B=41.7649668657526
    2026-09-03: ('tpex', 'mid', '2035') 欄 line_6: A=57.369929764145624 B=57.27179524844087
    2026-09-03: ('tpex', 'mid', '2061') 欄 line_6: A=27.967549839021444 B=27.869415323316684
    2026-09-03: ('tpex', 'mid', '2063') 欄 line_6: A=48.873680935035836 B=48.77554641933108
    2026-09-03: ('tpex', 'mid', '2065') 欄 line_6: A=48.873680935035836 B=48.77554641933108
    2026-09-03: ('tpex', 'mid', '2066') 欄 line_6: A=40.71661093698964 B=39.58195655286275
    2026-09-03: ('tpex', 'mid', '2067') 欄 line_6: A=40.71661093698964 B=39.58195655286275
    2026-09-03: ('tpex', 'mid', '2070') 欄 line_6: A=40.71661093698964 B=39.58195655286275
    2026-09-03: ('tpex', 'mid', '2073') 欄 line_6: A=44.28000475704218 B=44.18187024133742
    2026-09-03: ('tpex', 'mid', '2221') 欄 line_6: A=44.92957224013067 B=44.8314377244259
    2026-09-03: ('tpex', 'mid', '2230') 欄 line_6: A=38.510454834955915 B=38.41232031925115
    2026-09-03: ('tpex', 'mid', '2235') 欄 line_6: A=32.478700180668824 B=31.510664501514142
    2026-09-03: ('tpex', 'mid', '2596') 欄 line_6: A=51.22760189097144 B=51.129467375266685
    2026-09-03: ('tpex', 'mid', '2640') 欄 line_6: A=38.89039150780239 B=38.792256992097634
    2026-09-03: ('tpex', 'mid', '2641') 欄 line_6: A=47.209013345773855 B=47.11087883006909
    2026-09-03: ('tpex', 'mid', '2643') 欄 line_6: A=47.209013345773855 B=47.11087883006909
    2026-09-03: ('tpex', 'mid', '2718') 欄 line_6: A=51.22760189097144 B=51.129467375266685
