# d 校準報告  dump 2021-01-01～2023-06-30（603 日） data_version=fm-20260911-01 params_sha=a6a3f35cd1f0  p85 method=linear  閘門 15.0%  距離型容差 25%
# 鍵數：{'distance': 30, 'calibrate': 172, 'not_applicable': 90, 'persistence': 12}；有樣本的鍵 266／304；樣本合計 68,701,750、跳過 10,089,667
# clip_old%／clip_new%＝舊 d／新 d（p85÷3）下 |x−c|>3d 的比例；clip_eff%＝生效 d（見檔頭）下的比例；med!＝|median−c|>d_new；adopt＝距離型 |d_new−d_old|/d_old 超容差；gate＝clip_eff% > 閘門＋100/n（一個樣本的離散化餘裕；嚴格版見下方清單）；p85=0 者 d_eff 留空＝退化
category     key                                                               n       c    d_old       p85     d_new  clipO%  clipN%    d_eff  clipE%     median med! adopt gate
calibrate    market_index__twse__short__3__A__amount_ratio                   603    1.00   0.3000    0.2501    0.0834    0.17   15.09   0.0834   15.09     0.9833          —     
calibrate    market_index__twse__short__4__A__foreign_net_ratio              603    0.00   1.0000    5.0456    1.6819   32.67   15.09   1.6819   15.09    -0.5990          —     
calibrate    market_index__twse__short__4__B__trust_net_ratio                603    0.00   0.2000    0.7016    0.2339   23.05   15.09   0.2339   15.09     0.2591    Y     —     
calibrate    market_index__twse__short__4__D__margin_change                  603    0.00   2.0000    3.7618    1.2539    5.31   15.09   1.2539   15.09     0.3480          —     
calibrate    market_index__twse__short__5__A__foreign_net_oi_change          603    0.00 5000.0000 7605.6000 2535.2000    2.32   15.09 2535.2000   15.09  -310.0000          —     
calibrate    market_index__twse__short__5__B__basis                          573    0.00   0.3000    0.3374    0.1125    2.97   15.01   0.1125   15.01     0.0081          —     
calibrate    market_index__twse__short__6__A__sox_return                     603    0.00   2.5000    6.4407    2.1469   10.78   15.09   2.1469   15.09     0.2807          —     
calibrate    market_index__twse__short__6__A__spx_return                     603    0.00   1.5000    3.3644    1.1215    7.13   15.09   1.1215   15.09     0.3036          —     
calibrate    market_index__twse__short__6__B__usdtwd_change                  603    0.00   0.3000    0.8495    0.2832   13.27   15.09   0.2832   15.09     0.0672          —     
calibrate    market_index__twse__swing__1__B__ma20_slope                     603    0.00   0.7000    2.6620    0.8873   26.70   15.09   0.8873   15.09     0.3725          —     
calibrate    market_index__twse__swing__2__C__new_high_low_ratio             603    0.00   3.0000   23.8095    7.9365   56.38   14.93   7.9365   14.93     5.0659          —     
calibrate    market_index__twse__swing__2__D__ad_line_dev                    603    0.00   1.0000    2.1703    0.7234    5.47   15.09   0.7234   15.09     0.2796          —     
calibrate    market_index__twse__swing__3__A__amount_ratio                   603    1.00   0.3000    0.1752    0.0584    0.00   15.09   0.0584   15.09     0.9887          —     
calibrate    market_index__twse__swing__4__A__foreign_net_ratio              603    0.00   0.7000    4.3106    1.4369   45.11   15.09   1.4369   15.09    -0.6966          —     
calibrate    market_index__twse__swing__4__B__trust_net_ratio                603    0.00   0.1500    0.6637    0.2212   31.84   15.09   0.2212   15.09     0.2492    Y     —     
