# d 校準報告  dump 2021-01-01～2023-06-30（603 日） data_version=fm-20260911-01 params_sha=a6a3f35cd1f0  p85 method=linear  閘門 15.0%  距離型容差 25%
# 鍵數：{'distance': 30, 'calibrate': 172, 'not_applicable': 90, 'persistence': 12}；有樣本的鍵 266／304；樣本合計 68,701,750、跳過 10,089,667
# clip_old%／clip_new%＝舊 d／新 d（p85÷3）下 |x−c|>3d 的比例；clip_eff%＝生效 d（見檔頭）下的比例；med!＝|median−c|>d_new；adopt＝距離型 |d_new−d_old|/d_old 超容差；gate＝clip_eff% > 閘門＋100/n（一個樣本的離散化餘裕；嚴格版見下方清單）；p85=0 者 d_eff 留空＝退化
category     key                                                               n       c    d_old       p85     d_new  clipO%  clipN%    d_eff  clipE%     median med! adopt gate
tpex   stock          10    1     483077    1.6277    0.5426   0.8000    32.2    6.25   15.00     Y
tpex   stock          20    3    1448835    2.4130    0.8043   1.0000    19.6    8.79   15.00      
tpex   stock          60    1     481544    4.1227    1.3742   1.5000     8.4   11.89   15.00      
twse   market_index    5    2       1206    1.2302    0.4101   0.6000    31.7    4.06   15.01     Y
twse   market_index   10    2       1206    1.9243    0.6414   0.8000    19.8    6.63   15.01      
twse   market_index   20    4       2412    3.0495    1.0165   1.0000     1.7   15.96   14.97      
twse   market_index   60    1        603    5.2647    1.7549   1.5000    17.0   26.37   15.09      
twse   stock           5    1     594089    1.0514    0.3505   0.6000    41.6    4.14   15.00     Y
twse   stock          10    1     594089    1.6059    0.5353   0.8000    33.1    5.58   15.00     Y
twse   stock          20    3    1781877    2.3782    0.7927   1.0000    20.7    8.13   15.00      
twse   stock          60    1     592498    4.0662    1.3554   1.5000     9.6   11.33   15.00      

## 持續性族（不校準；d_formula＝值域上界÷3，與現行 d 對照）
  market_index__tpex__mid__4__C__foreign_buy_days            n=    603 upper=  5.0 d_formula= 1.6667 d_old=2.0000 same=N clip_old%=  0.00  B1.4 族 C（同性質：近 10 日買超天數−5、3d=6≥5 截斷不觸發；規格 5a 未點名，歸類待裁定）
  market_index__tpex__short__4__C__foreign_buy_days          n=    603 upper=  5.0 d_formula= 1.6667 d_old=2.0000 same=N clip_old%=  0.00  B1.4 族 C（同性質：近 10 日買超天數−5、3d=6≥5 截斷不觸發；規格 5a 未點名，歸類待裁定）
  market_index__tpex__swing__4__C__foreign_buy_days          n=    603 upper=  5.0 d_formula= 1.6667 d_old=2.0000 same=N clip_old%=  0.00  B1.4 族 C（同性質：近 10 日買超天數−5、3d=6≥5 截斷不觸發；規格 5a 未點名，歸類待裁定）
  market_index__twse__mid__4__C__foreign_buy_days            n=    603 upper=  5.0 d_formula= 1.6667 d_old=2.0000 same=N clip_old%=  0.00  B1.4 族 C（同性質：近 10 日買超天數−5、3d=6≥5 截斷不觸發；規格 5a 未點名，歸類待裁定）
  market_index__twse__short__4__C__foreign_buy_days          n=    603 upper=  5.0 d_formula= 1.6667 d_old=2.0000 same=N clip_old%=  0.00  B1.4 族 C（同性質：近 10 日買超天數−5、3d=6≥5 截斷不觸發；規格 5a 未點名，歸類待裁定）
  market_index__twse__swing__4__C__foreign_buy_days          n=    603 upper=  5.0 d_formula= 1.6667 d_old=2.0000 same=N clip_old%=  0.00  B1.4 族 C（同性質：近 10 日買超天數−5、3d=6≥5 截斷不觸發；規格 5a 未點名，歸類待裁定）
  stock__tpex__mid__5__C__foreign_persistence                n= 478247 upper= 10.0 d_formula= 3.3333 d_old=3.3400 same=N clip_old%=  0.00  B2.5 族 C（規格 P1-B2-params.md:62 第 5a 點點名：不套 p85，d＝值域上界÷3）
  stock__tpex__short__5__C__foreign_persistence              n= 478443 upper=  2.5 d_formula= 0.8333 d_old=1.0000 same=N clip_old%=  0.00  B2.5 族 C（規格 P1-B2-params.md:62 第 5a 點點名：不套 p85，d＝值域上界÷3）
  stock__tpex__swing__5__C__foreign_persistence              n= 478390 upper=  5.0 d_formula= 1.6667 d_old=2.0000 same=N clip_old%=  0.00  B2.5 族 C（規格 P1-B2-params.md:62 第 5a 點點名：不套 p85，d＝值域上界÷3）
  stock__twse__mid__5__C__foreign_persistence                n= 592800 upper= 10.0 d_formula= 3.3333 d_old=3.3400 same=N clip_old%=  0.00  B2.5 族 C（規格 P1-B2-params.md:62 第 5a 點點名：不套 p85，d＝值域上界÷3）
  stock__twse__short__5__C__foreign_persistence              n= 593133 upper=  2.5 d_formula= 0.8333 d_old=1.0000 same=N clip_old%=  0.00  B2.5 族 C（規格 P1-B2-params.md:62 第 5a 點點名：不套 p85，d＝值域上界÷3）
  stock__twse__swing__5__C__foreign_persistence              n= 593024 upper=  5.0 d_formula= 1.6667 d_old=2.0000 same=N clip_old%=  0.00  B2.5 族 C（規格 P1-B2-params.md:62 第 5a 點點名：不套 p85，d＝值域上界÷3）

## 零膨脹（p85_nz／d_nz＝只取非零樣本的分位與 d；clipNZ%＝**全體**樣本在 d_nz 下的截斷比例，閘門要看全體）
# z_zero＝x 恰為 0 的樣本比例（x_kind=x_minus_rolling_c 的鍵＝x−c_rolling=0，不是 |x−c|=0）；z_zero ≥ 85% 且 c=0 ⇒ p85＝0＝退化；c≠0 的鍵零樣本的 dev＝|c|，p85 不一定為 0（看同列 p85 欄）。**只列需要 d 的鍵**（calibrate／distance／persistence）——n/a 類無 c 無 d，五個零膨脹欄一律空、其 .f32 也不讀
### z_zero ≥85%（c=0 者 p85＝0）：6 個
category       key                                                               n  z_zero%     n_nz       p85    p85_nz    d_old      d_nz  clipNZ%
calibrate      stock__tpex__short__5__B__trust_strength_short               478457    90.83    43889    0.0000    9.8658   5.0000    3.2886     1.38
calibrate      stock__tpex__short__5__B__trust_strength_long                478443    89.35    50960    0.0000    8.0568   4.0000    2.6856     1.60
calibrate      stock__tpex__swing__5__B__trust_strength_short               478443    89.35    50960    0.0000    8.0568   4.0000    2.6856     1.60
calibrate      stock__tpex__mid__5__B__trust_strength_short                 478390    87.26    60923    0.0000    6.1399   3.0000    2.0466     1.91
calibrate      stock__tpex__swing__5__B__trust_strength_long                478390    87.26    60923    0.0000    6.1399   3.0000    2.0466     1.91
calibrate      stock__tpex__mid__5__B__trust_strength_long                  478247    85.10    71281    0.0000    4.7089   2.0000    1.5696     2.24
### z_zero ≥50%（含上表）：12 個
category       key                                                               n  z_zero%     n_nz       p85    p85_nz    d_old      d_nz  clipNZ%
calibrate      stock__tpex__short__5__B__trust_strength_short               478457    90.83    43889    0.0000    9.8658   5.0000    3.2886     1.38
calibrate      stock__tpex__short__5__B__trust_strength_long                478443    89.35    50960    0.0000    8.0568   4.0000    2.6856     1.60
calibrate      stock__tpex__swing__5__B__trust_strength_short               478443    89.35    50960    0.0000    8.0568   4.0000    2.6856     1.60
calibrate      stock__tpex__mid__5__B__trust_strength_short                 478390    87.26    60923    0.0000    6.1399   3.0000    2.0466     1.91
calibrate      stock__tpex__swing__5__B__trust_strength_long                478390    87.26    60923    0.0000    6.1399   3.0000    2.0466     1.91
calibrate      stock__tpex__mid__5__B__trust_strength_long                  478247    85.10    71281    0.0000    4.7089   2.0000    1.5696     2.24
calibrate      stock__twse__short__5__B__trust_strength_short               593172    71.21   170747    0.8612    7.2895   5.0000    2.4298     4.32
calibrate      stock__twse__short__5__B__trust_strength_long                593133    67.78   191096    1.0883    6.1976   4.0000    2.0659     4.83
calibrate      stock__twse__swing__5__B__trust_strength_short               593133    67.78   191096    1.0883    6.1976   4.0000    2.0659     4.83
calibrate      stock__twse__mid__5__B__trust_strength_short                 593024    63.31   217571    1.2835    4.9934   3.0000    1.6645     5.50
calibrate      stock__twse__swing__5__B__trust_strength_long                593024    63.31   217571    1.2835    4.9934   3.0000    1.6645     5.50
calibrate      stock__twse__mid__5__B__trust_strength_long                  592800    58.79   244266    1.2939    4.0314   2.0000    1.3438     6.18
